Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
36,1.0,0.0,0.0,833.0,16.0,30.0,1781.0,0.1,11.005999999999993,0.0,0.0,260.3972501754761,,,,,,,,,,,,,,,,,,,,,2.9570230380426494,3.568862534643241,10.939156683068177,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,894.0,17.0,61.0,1842.0,0.1,35.706999999999994,0.0,0.0,266.20226526260376,,,,,,,,,,,,,,,,,,,,,13.391711069780005,11.156336659504158,34.95999064604487,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,928.0,18.0,34.0,1876.0,0.1,17.706000000000017,0.0,0.0,269.5129704475403,,,,,,,,,,,,,,,,,,,,,5.615615411537877,6.025849512103687,17.550151829514917,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,968.0,19.0,40.0,1916.0,0.1,18.607000000000024,0.0,0.0,273.48141646385193,,,,,,,,,,,,,,,,,,,,,5.374415618375648,6.1368711301269565,18.428862671745797,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,1000.0,20.0,32.0,1948.0,0.1,14.706999999999994,0.0,0.0,276.7210681438446,,,,,,,,,,,,,,,,,,,,,4.322280026914529,4.966089953659884,14.597868177625811,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,74.0,1.0,74.0,2022.0,0.1,53.105999999999995,0.0,0.0,378.0274467468262,,,,,,,,,,,,,,,,,,,,,20.948616986154196,16.6574611548065,51.659068821598936,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,148.0,2.0,74.0,2096.0,0.1,35.30700000000002,0.0,0.0,384.83714532852173,,,,,,,,,,,,,,,,,,,,,10.052750050644924,10.944181335592662,34.632326516959665,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,211.0,3.0,63.0,2159.0,0.1,36.509,0.0,0.0,390.88502836227417,,,,,,,,,,,,,,,,,,,,,11.60383278714303,12.125134548281101,35.84962192864535,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,281.0,4.0,70.0,2229.0,0.1,39.806,0.0,0.0,397.2906754016876,,,,,,,,,,,,,,,,,,,,,16.413514652239968,12.3271395693398,38.73448420827554,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,441.0,5.0,160.0,2389.0,0.1,91.20500000000001,0.0,0.0,411.38313484191895,,,,,,,,,,,,,,,,,,,,,40.60450694094377,25.07068263332129,84.87794991132179,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,499.0,6.0,58.0,2447.0,0.1,34.906000000000006,0.0,0.0,416.8393952846527,,,,,,,,,,,,,,,,,,,,,11.60561079582198,11.59950060264834,34.301443158716594,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,569.0,7.0,70.0,2517.0,0.1,43.10699999999999,0.0,0.0,423.53449726104736,,,,,,,,,,,,,,,,,,,,,17.113883588090182,13.23091718755905,41.992972100061706,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,606.0,8.0,37.0,2554.0,0.1,15.506999999999993,0.0,0.0,427.179634809494,,,,,,,,,,,,,,,,,,,,,4.368874691588383,5.022436320534031,15.376088437197192,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,641.0,9.0,35.0,2589.0,0.1,15.506999999999993,0.0,0.0,430.63658595085144,,,,,,,,,,,,,,,,,,,,,4.365427355120224,5.166336929788388,15.384964586779766,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,734.0,10.0,93.0,2682.0,0.1,68.70599999999996,0.0,0.0,439.04737186431885,,,,,,,,,,,,,,,,,,,,,26.551089604891146,21.893077593959042,66.36942113960319,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,824.0,11.0,90.0,2772.0,0.1,65.80599999999995,0.0,0.0,447.1944680213928,,,,,,,,,,,,,,,,,,,,,24.922645808544207,21.26612866343391,63.690278744441166,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,924.0,12.0,100.0,2872.0,0.1,71.50599999999997,0.0,0.0,456.3871850967407,,,,,,,,,,,,,,,,,,,,,28.317085165423773,21.93154209274894,68.81184636433996,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,957.0,13.0,33.0,2905.0,0.1,16.607000000000017,0.0,0.0,459.64243364334106,,,,,,,,,,,,,,,,,,,,,5.144235862699676,5.664296393061589,16.47016407451587,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,996.0,14.0,39.0,2944.0,0.1,17.70700000000002,0.0,0.0,463.412309885025,,,,,,,,,,,,,,,,,,,,,5.470828084950427,5.697847039243591,17.528677531071548,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,1047.0,15.0,51.0,2995.0,0.1,33.306999999999995,0.0,0.0,468.2469325065613,,,,,,,,,,,,,,,,,,,,,11.8780414280283,11.24409269558652,32.76672056157314,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,1077.0,16.0,30.0,3025.0,0.1,14.605999999999995,0.0,0.0,471.35882019996643,,,,,,,,,,,,,,,,,,,,,4.526846200680931,4.98353255297366,14.499178471744592,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,1115.0,17.0,38.0,3063.0,0.1,21.706000000000017,0.0,0.0,475.2740247249603,,,,,,,,,,,,,,,,,,,,,7.233320918911182,7.392756370644504,21.474060451924775,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,1203.0,18.0,88.0,3151.0,0.1,50.608,0.0,0.0,483.27736234664917,,,,,,,,,,,,,,,,,,,,,19.27563016662987,15.568955191978832,49.009714965552696,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,1262.0,19.0,59.0,3210.0,0.1,26.109000000000034,0.0,0.0,488.84599113464355,,,,,,,,,,,,,,,,,,,,,7.396956560285006,8.131666207375527,25.724001842626592,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,1300.0,20.0,38.0,3248.0,0.1,12.61199999999999,0.0,0.0,492.5644443035126,,,,,,,,,,,,,,,,,,,,,2.8786181102807125,3.9816265925629644,12.527655294743528,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
